study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	geomean	median	min	max	sd	geosd	se	cv	unit	comments
Frost2015a	group1	20.0	API10_D1_A	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	139.5	NA	80.0	250.0	NA	NA	NA	32.0	ng/ml	NA
Frost2015a	group1	20.0	API10_D1_A	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	NA	1490.0	NA	818.0	2165.0	NA	NA	NA	28.0	ng*hr/ml	NA
Frost2015a	group1	20.0	API10_D1_A	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1523.0	NA	846.0	2229.0	NA	NA	NA	28.0	ng*hr/ml	NA
Frost2015a	group1	20.0	API10_D1_A	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	4.0	1.0	4.0	NA	NA	NA	NA	hr	NA
Frost2015a	group1	20.0	API10_D1_A	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	11.3	NA	NA	4.6	25.0	5.8	NA	NA	NA	hr	NA
Frost2015a	group1	18.0	API10_D7, KET400 	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	225.3	NA	103.0	391.0	NA	NA	NA	36.0	ng/ml	NA
Frost2015a	group1	18.0	API10_D7, KET400 	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	NA	2939.0	NA	1288.0	5612.0	NA	NA	NA	38.0	ng*hr/ml	NA
Frost2015a	group1	18.0	API10_D7, KET400 	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	3027.0	NA	1306.0	5859.0	NA	NA	NA	37.0	ng*hr/ml	NA
Frost2015a	group1	18.0	API10_D7, KET400 	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	4.0	3.0	4.0	NA	NA	NA	NA	hr	NA
Frost2015a	group1	18.0	API10_D7, KET400 	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	13.8	NA	NA	5.6	34.0	6.3	NA	NA	NA	hr	NA
Frost2015a	group2	12.0	API10_D1_B	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	148.1	NA	76.0	304.0	NA	NA	NA	38.0	ng/ml	NA
Frost2015a	group2	12.0	API10_D1_B	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	NA	1779.0	NA	892.0	3574.0	NA	NA	NA	40.0	ng*hr/ml	NA
Frost2015a	group2	12.0	API10_D1_B	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	1897.0	NA	941.0	3589.0	NA	NA	NA	38.0	ng*hr/ml	NA
Frost2015a	group2	12.0	API10_D1_B	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	3.0	2.0	8.0	NA	NA	NA	NA	hr	NA
Frost2015a	group2	12.0	API10_D1_B	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	17.2	NA	NA	8.6	30.0	7.4	NA	NA	NA	hr	NA
Frost2015a	group2	18.0	API10_D11, DIL360	cmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	194.6	NA	119.0	463.0	NA	NA	NA	41.0	ng/ml	NA
Frost2015a	group2	18.0	API10_D11, DIL360	auc_end	apixaban	plasma	HPLC MS/MS	72.0	hr	NA	2475.0	NA	1228.0	5144.0	NA	NA	NA	40.0	ng*hr/ml	NA
Frost2015a	group2	18.0	API10_D11, DIL360	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	NA	2606.0	NA	1242.0	5229.0	NA	NA	NA	39.0	ng*hr/ml	NA
Frost2015a	group2	18.0	API10_D11, DIL360	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	NA	NA	4.0	2.0	4.0	NA	NA	NA	NA	hr	NA
Frost2015a	group2	18.0	API10_D11, DIL360	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	16.3	NA	NA	5.6	37.0	7.8	NA	NA	NA	hr	NA
