study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	sd	se	min	max	cv	unit	comments
Frost2015b	NA	all	39.0	PO10	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	NA	2203.0	704.96	112.88394330643423	NA	NA	32.0	ng*hr/ml	NA
Frost2015b	NA	all	39.0	PO10	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	219.7	59.319	9.498641955563963	NA	NA	27.0	ng/ml	NA
Frost2015b	NA	all	39.0	PO10	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	4.0	NA	NA	2.0	5.0	NA	hr	NA
Frost2015b	NA	all	39.0	PO50	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	NA	5796.0	1796.76	287.71186163082837	NA	NA	31.0	ng*hr/ml	NA
Frost2015b	NA	all	39.0	PO50	cmax	apixaban	plasma	LC MS/MS	NA	NA	NA	562.5	157.5	25.220184224301224	NA	NA	28.0	ng/ml	NA
Frost2015b	NA	all	39.0	PO50	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	3.0	NA	NA	1.0	5.0	NA	hr	NA
Frost2015b	NA	all	39.0	PO10	auc_end	apixaban-M1	plasma	LC MS/MS	24.0	hr	NA	469.0	211.05	33.79504686056364	NA	NA	45.0	ng*hr/ml	NA
Frost2015b	NA	all	39.0	PO10	cmax	apixaban-M1	plasma	LC MS/MS	NA	NA	NA	28.3	12.452000000000002	1.9939157711809452	NA	NA	44.0	ng/ml	NA
Frost2015b	NA	all	39.0	PO10	tmax	apixaban-M1	plasma	LC MS/MS	NA	NA	NA	6.0	NA	NA	5.0	12.0	NA	hr	NA
Frost2015b	NA	all	39.0	PO50	auc_end	apixaban-M1	plasma	LC MS/MS	24.0	hr	NA	1336.0	641.28	102.68698247212627	NA	NA	48.0	ng*hr/ml	NA
Frost2015b	NA	all	39.0	PO50	cmax	apixaban-M1	plasma	LC MS/MS	NA	NA	NA	81.6	38.352	6.141234954732701	NA	NA	47.0	ng/ml	NA
Frost2015b	NA	all	39.0	PO50	tmax	apixaban-M1	plasma	LC MS/MS	NA	NA	NA	6.0	NA	NA	4.0	8.0	NA	hr	NA
