study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Frost2021a	all	32.0	NA	species	32.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	all	32.0	NA	overnight fast	32.0	NA	N	NA	NA	NA	NA	NA	NA	NA	overnight fast (≥8h fast)
Frost2021a	all	32.0	NA	healthy	16.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	all	32.0	NA	healthy	16.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	all	32.0	NA	sex	18.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	all	32.0	NA	sex	14.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	healthy	16.0	all	healthy	16.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	healthy	16.0	all	age 	16.0	NA	NA	48.0	NA	8.0	NA	36.0	60.0	yr	NA
Frost2021a	healthy	16.0	all	sex	9.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	healthy	16.0	all	sex	7.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	healthy	16.0	all	weight	16.0	NA	NA	77.6	NA	10.2	NA	60.0	100.4	kg	NA
Frost2021a	healthy	16.0	all	bmi	16.0	NA	NA	27.4	NA	3.3	NA	24.0	35.0	kg/m^2	NA
Frost2021a	healthy	16.0	all	clearance	16.0	creatinine	NA	114.61	NA	23.93	NA	73.17	160.72	ml/min	NA
Frost2021a	mild	8.0	all	healthy	8.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	mild	8.0	all	age 	8.0	NA	NA	52.0	NA	7.0	NA	44.0	64.0	yr	NA
Frost2021a	mild	8.0	all	sex	4.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	mild	8.0	all	sex	4.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	mild	8.0	all	weight	8.0	NA	NA	86.1	NA	16.3	NA	56.9	101.8	kg	NA
Frost2021a	mild	8.0	all	bmi	8.0	NA	NA	29.0	NA	3.3	NA	24.0	35.0	kg/m^2	NA
Frost2021a	mild	8.0	all	clearance	8.0	creatinine	NA	122.0	NA	26.66	NA	93.71	169.8	ml/min	NA
Frost2021a	moderate	8.0	all	healthy	8.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	moderate	8.0	all	age 	8.0	NA	NA	50.0	NA	5.0	NA	44.0	59.0	yr	NA
Frost2021a	moderate	8.0	all	sex	5.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	moderate	8.0	all	sex	3.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Frost2021a	moderate	8.0	all	weight	8.0	NA	NA	83.8	NA	19.7	NA	58.0	120.5	kg	NA
Frost2021a	moderate	8.0	all	bmi	8.0	NA	NA	28.4	NA	4.5	NA	22.0	33.0	kg/m^2	NA
Frost2021a	moderate	8.0	all	clearance	8.0	creatinine	NA	111.68	NA	33.88	NA	56.67	165.05	ml/min	NA
