study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021		group_po	3.0	PO5	0.05	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	0.0		mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	52.4137931034482		2.3246021220159		sec	
Frost2021		group_po	3.0	PO5	0.5	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	3.573543719014494e-05	3.187631275183156e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	49.32824933687		1.551724137931		sec	
Frost2021		group_po	3.0	PO5	1.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	0.00011917249250102155	8.815828857712623e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	62.5358090185676		2.32758620689651		sec	
Frost2021		group_po	3.0	PO5	2.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	0.00016983303728987007	0.00010684574404249793	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	78.0828912466843		1.551724137931		sec	
Frost2021		group_po	3.0	PO5	3.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	0.00020274271290806313	0.00010638902752189359	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	83.5437665782493		1.551724137931		sec	
Frost2021		group_po	3.0	PO5	4.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	0.00020274271290806313	8.771793395095257e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	89.2		17.0		sec	
Frost2021		group_po	3.0	PO5	6.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	0.0001373138943373652	7.273957981607769e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	75.8806366047745		1.551724137931		sec	
Frost2021		group_po	3.0	PO5	8.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	0.00011102142362272732	5.8811613667142767e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	75.9433023872679		3.10344827586199		sec	
Frost2021		group_po	3.0	PO5	12.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	5.949714049015495e-05	2.7973669956702506e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	69.8706896551724		1.551724137931		sec	
Frost2021		group_po	3.0	PO5	18.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	2.9375325223084004e-05	1.2673191535871187e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	63.854774535809		2.3246021220159		sec	
Frost2021		group_po	3.0	PO5	24.0	hr	concentration	apixaban	plasma	LC/MS	PO5_apixaban_plasma_vs_PT_mean	2.215018304622568e-05	9.556098874399284e-06	mole/meter^3	prothrombin time	plasma	coagulation assay	PO5_PT_vs_apixaban_mean	53.1896551724138		2.3246021220159		sec	
