study	individual	group	count	intervention	measurement_type	tissue	substance	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	cv	comments	mean_unit	value_unit
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	0.0	hr		1.0411214953271	1.07476635514019	0.0336448598130901	0.0068677282507951			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	1.0	hr		1.08224299065421	1.05233644859813	0.0112149532710299	0.002289242750265			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	2.0	hr		1.10467289719626	1.14953271028037	0.0672897196261602	0.0137354565015863			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	3.0	hr		1.11214953271028	1.14205607476636	0.0373831775700999	0.0076308091675501			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	4.0	hr		1.10467289719626	1.13831775700935	0.02616822429907	0.0053415664172851			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	6.0	hr		1.07476635514019	1.10467289719626	0.0	0.0			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	12.0	hr		1.05		0.06846	0.013974338982578	6.52		dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	13.0	hr		1.0785046728972	1.1196261682243	0.0411214953271	0.0083938900843031			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	14.0	hr		1.08598130841122	1.13457943925234	0.0485981308411201	0.0099200519178132			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	15.0	hr		1.09345794392523	1.13457943925234	0.04112149532711	0.0083938900843051			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	16.0	hr		1.09719626168224	1.12710280373832	0.02990654205608	0.0061046473340401			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	18.0	hr		1.08224299065421	1.10841121495327	0.0261682242990602	0.0053415664172831			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	24.0	hr		1.06		0.022472	0.0045870777916519	2.12		dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	30.0	hr		1.01869158878505	1.04859813084112	0.02990654205607	0.0061046473340381			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	36.0	hr		1.01		0.030805	0.0062880442938696	3.05		dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	48.0	hr		1.01		0.02323	0.0047418038937377	2.3		dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	60.0	hr		1.00373831775701	1.02990654205608	0.02616822429907	0.0053415664172851			dimensionless	dimensionless
Kreutz2017		all	24.0	api	prothrombin time ratio	plasma		coagulation assay	api_prothrombin time ratio	72.0	hr		1.00373831775701	1.02242990654206	0.0186915887850498	0.003815404583775			dimensionless	dimensionless
