study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	0.0	hr		1.09490741954942	1.15085892627659	0.0559515067271632	0.158254759297527	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	0.5	hr		1.15252760366126	1.22202523013979	0.0694976264785332	0.196568971837362	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	1.5	hr		1.25420873875528	1.3304695900758	0.0762608513205172	0.215698260431187	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	2.0	hr		1.22198589000498	1.27283301424113	0.0508471242361457	0.143817385404854	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	2.5	hr		1.25417267696504	1.30841616617273	0.0542434892076897	0.153423756215907	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	3.0	hr		1.27958968239398	1.38975845157229	0.110168769178316	0.31160433504385	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	4.0	hr		1.27786855149624	1.32532914579454	0.0474605942983031	0.134238832269895	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	6.0	hr		1.27443284638989	1.32019525820242	0.0457624118125313	0.129435646864369	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	12.0	hr		1.15226205775132	1.18955322720239	0.037291169451074	0.105475355188924	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	24.0	hr		1.14350232106795	1.19942760103858	0.055925279970626	0.158180578827943	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	48.0	hr		1.0717426368381	1.127681030187	0.0559383933488946	0.158217669062735	period 2	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_PRE	inr		plasma	coagulation assay	inr_esrd_P2	72.0	hr		1.09320595871909	1.157618872774	0.0644129140549188	0.182187233296877	period 2	dimensionless	dimensionless
