study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	ci	mean_sd	mean_se	comments	mean_unit	value_unit
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	0.0	hr		0.0						pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	0.5	hr		102.79	82.66	20.13	29.0491010311943			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	1.0	hr		118.94	104.85	14.09	20.3329276467724			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	1.5	hr		112.95	94.82	18.13	26.1629509039023			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	2.0	hr		108.95	90.84	18.11	26.1340894026293			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	2.5	hr		111.02	92.9	18.12	26.1485201532658			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	3.0	hr		105.02	88.91	16.11	23.2479392753373			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	4.0	hr		99.06	80.94	18.12	26.1485201532658			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	6.0	hr		62.99	52.92	10.07	14.5317658909154			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	8.0	hr		49.06	36.98	12.08	17.4323467688439			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	23.0	hr		12.06						pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	24.0	hr		12.16						pg/ml	pg/ml
